Sentence,Span,loss,hidden_states
"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.
","He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",0.7292081117630005,"tensor([[[ 0.0925, -0.1876, -0.0172,  ..., -0.2782, -0.3532,  0.4164],
         [-0.8374,  0.4799, -0.5663,  ...,  0.4939, -0.0569, -0.2338],
         [-0.5828, -0.1602, -0.0903,  ...,  0.1548,  0.2184, -0.3423],
         ...,
         [ 0.6039,  0.5543,  1.5491,  ..., -0.6396,  0.1231, -1.0867],
         [-0.3870,  0.0503,  0.4768,  ...,  1.1161, -0.4633, -0.5786],
         [-0.3902,  0.4698,  0.2016,  ...,  0.3469,  0.3818,  0.4708]]])"
"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.
",but warned that the danger was not over,0.6466274261474609,"tensor([[[ 0.0925, -0.1876, -0.0172,  ..., -0.2782, -0.3532,  0.4164],
         [ 0.1575,  0.5096,  0.4560,  ..., -0.4999, -0.5280, -1.3121],
         [-0.7790,  0.4781,  0.0859,  ..., -0.2489,  0.5078, -0.5689],
         ...,
         [-0.4031,  0.5904,  0.2432,  ...,  0.4515, -0.4669,  0.2954],
         [ 0.5008, -0.3513,  0.1408,  ...,  0.4072, -0.4648,  0.5299],
         [-0.4476,  0.4460, -0.0034,  ...,  0.1994,  0.6742,  0.4990]]])"
"The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.
",,0.6140344142913818,"tensor([[[-0.1885,  0.0200, -0.2144,  ..., -0.3234,  0.1177, -0.1013],
         [-0.2325,  0.8104, -1.3336,  ...,  0.1395,  0.6788, -0.9414],
         [-0.0269,  0.1442,  0.1987,  ...,  0.6600,  0.9352,  0.3144],
         ...,
         [ 0.4752,  0.7681, -0.2315,  ..., -0.7083,  0.5030, -0.5249],
         [ 0.0258,  0.3907, -0.1044,  ...,  0.7172, -0.6287,  0.3937],
         [-0.3444,  0.3149,  0.0321,  ...,  0.6340,  0.3512,  0.4887]]])"
"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.
","when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",0.7793617844581604,"tensor([[[-0.3333,  0.1177, -0.2444,  ..., -0.0086,  0.1219,  0.3545],
         [-0.5452,  0.4848, -0.9008,  ...,  1.0627,  0.6608,  0.4786],
         [-0.7006,  0.3036,  0.3678,  ...,  0.4071, -0.6311,  0.4032],
         ...,
         [-0.9569,  0.8714,  1.0055,  ..., -0.2383,  0.6755, -0.1399],
         [-0.5516,  0.6842,  0.4842,  ..., -0.7856,  0.0556, -0.0019],
         [-0.0335,  0.3843, -0.1158,  ...,  0.1412,  0.5244,  0.5550]]])"
"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.
",it could even spill over into neighbouring countries and beyond,0.6736228466033936,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.6117,  0.6215, -0.5198,  ...,  0.7042,  0.8663,  0.4833],
         [-0.5612, -0.1444,  0.0656,  ..., -0.3818,  1.1750,  0.4312],
         ...,
         [-0.3587,  0.2602,  0.4737,  ..., -0.5826, -0.4358,  0.3179],
         [-0.1277,  0.2985, -0.4124,  ..., -0.6424, -0.5202, -1.7357],
         [-0.3902,  0.4698,  0.2016,  ...,  0.3469,  0.3818,  0.4708]]])"
"Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.
",,0.6360899806022644,"tensor([[[ 0.2570, -1.2298, -0.5266,  ...,  0.0013, -0.6597,  0.6329],
         [ 0.2183, -0.5322, -0.5987,  ...,  0.5080,  1.1096, -0.1576],
         [ 0.2259, -0.0257,  0.0163,  ...,  0.2550, -0.6365,  0.4215],
         ...,
         [ 0.0622, -0.0633, -0.1555,  ..., -0.1899,  1.2120, -0.6265],
         [ 0.1905,  0.5881,  0.0555,  ...,  0.1418,  0.4730, -0.3472],
         [-0.3114,  0.3165,  0.1857,  ...,  0.1221,  0.7118,  0.5199]]])"
"""That's a dangerous combination,"" Tedros said.
",,0.5141855478286743,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.6117,  0.6215, -0.5198,  ...,  0.7042,  0.8663,  0.4833],
         [-0.6652,  0.2168,  0.2186,  ...,  0.4740,  0.6926, -1.0691],
         ...,
         [-1.0072,  0.6894,  0.8719,  ..., -0.0314,  0.8053, -0.0447],
         [-0.7274,  0.8123,  0.4455,  ..., -0.4646,  0.1601,  0.0393],
         [-0.4543,  0.4021,  0.0275,  ...,  0.4682,  0.4795,  0.7025]]])"
"US bloggers banned from entering UK
",,0.5336928963661194,"tensor([[[ 0.0455, -0.2913, -0.9925,  ...,  0.2745,  0.7209,  0.4975],
         [ 0.7264,  0.0364,  0.7082,  ..., -0.2899, -0.2391, -0.9133],
         [-0.7936, -0.1530,  0.5609,  ...,  0.1323,  0.0396,  0.1763],
         ...,
         [-0.3373,  0.4134,  0.2588,  ...,  0.4848,  0.4085,  0.6023],
         [-0.3843, -0.5044, -0.7573,  ..., -0.0153,  1.1784, -0.3641],
         [-0.2456, -0.1868, -0.3545,  ..., -0.4281,  0.2945,  0.3116]]])"
"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",,0.5767257213592529,"tensor([[[ 0.1866, -0.1411, -0.1923,  ..., -0.4174, -0.2414, -0.1529],
         [-0.9206,  0.3736, -0.6517,  ..., -0.0497,  0.2975, -1.2375],
         [-0.3917, -0.0187, -1.1137,  ...,  0.6830,  1.4208,  0.3755],
         ...,
         [-0.5024,  0.3827, -0.5107,  ...,  0.5160, -0.8239,  0.3078],
         [-0.6935,  0.8889,  0.6573,  ..., -0.2132, -0.3963, -0.1756],
         [-0.3444,  0.3149,  0.0321,  ...,  0.6340,  0.3512,  0.4887]]])"
"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",,0.7759403586387634,"tensor([[[ 0.0286, -0.6142, -0.3321,  ...,  0.0996, -0.3506,  0.4904],
         [ 1.2532, -0.9233,  0.2460,  ...,  0.2422,  0.3564,  0.7791],
         [-0.7830,  0.1448,  0.0499,  ..., -0.7004,  1.0267,  0.0962],
         ...,
         [-0.7765,  0.6989,  0.2344,  ...,  0.6408, -0.0800,  0.4768],
         [-0.1954,  0.2683, -0.3546,  ...,  0.7717, -0.1649,  0.4310],
         [-0.3444,  0.3149,  0.0321,  ...,  0.6340,  0.3512,  0.4887]]])"
"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",,0.5906038880348206,"tensor([[[-0.3587, -0.1855,  0.0730,  ...,  0.2361,  0.2900,  0.3729],
         [ 0.0881, -0.2298,  0.1545,  ...,  0.2289, -0.2367,  0.3245],
         [ 0.2606, -0.3336,  0.3369,  ...,  0.7043,  0.5084,  0.4378],
         ...,
         [-0.1158, -0.3868,  0.0894,  ...,  0.1882, -0.3395,  0.4701],
         [ 0.0235,  0.8263,  0.0127,  ...,  0.5855,  1.1045, -0.4477],
         [-0.0713,  0.3700, -0.2071,  ...,  0.3932,  0.4813,  0.3744]]])"
"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",,0.5227948427200317,"tensor([[[ 0.4750,  0.0332, -0.1556,  ..., -0.0137,  0.0546,  0.4531],
         [-0.1373,  0.3030, -0.0962,  ...,  0.6146,  0.2739, -0.0932],
         [ 0.4144,  0.2994, -0.4635,  ..., -0.3543, -0.8583, -0.2155],
         ...,
         [ 0.0555,  0.8923, -0.2625,  ...,  0.6034,  0.3959, -0.1361],
         [ 0.1647, -0.5237, -0.1862,  ..., -0.0639, -1.1216,  1.1927],
         [-0.4476,  0.4460, -0.0034,  ...,  0.1994,  0.6742,  0.4990]]])"
"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",We condemn all those whose behaviours and views run counter to our shared values,0.7287403345108032,"tensor([[[ 0.0925, -0.1876, -0.0172,  ..., -0.2782, -0.3532,  0.4164],
         [ 0.4227, -0.1973, -0.3252,  ..., -0.1915,  0.7239, -0.2580],
         [-0.7412,  0.3854, -0.7550,  ...,  0.5425,  0.5629,  0.6106],
         ...,
         [ 0.4718,  0.4298, -0.0661,  ..., -0.0799,  0.2535,  0.4976],
         [-0.3518,  0.3796,  0.0781,  ...,  0.3431,  0.3384,  0.4199],
         [ 0.2498,  0.3526, -0.4527,  ...,  0.4788,  0.2459, -0.2481]]])"
"'Right decision'
",,0.7463170886039734,"tensor([[[-0.1293, -0.1403, -0.1301,  ...,  0.1373,  0.2464, -0.4363],
         [-0.0981, -0.1360,  0.0557,  ..., -0.1910,  0.6570, -0.6668],
         [-0.1080, -0.1427, -0.0224,  ..., -0.0275,  0.2732, -0.2240],
         [-0.5361,  0.0504,  0.0621,  ...,  0.5823,  0.4670, -0.9657]]])"
"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
","Defeat Jihad""",0.5704721212387085,"tensor([[[ 0.3157, -0.7435, -1.0592,  ...,  0.1662, -0.3470,  0.4876],
         [ 1.2532, -0.9233,  0.2460,  ...,  0.2422,  0.3564,  0.7791],
         [-0.7830,  0.1448,  0.0499,  ..., -0.7004,  1.0267,  0.0962],
         ...,
         [-0.1021, -1.3471, -1.0110,  ..., -0.5886, -1.1012,  0.1934],
         [ 0.5415, -0.0130, -0.8221,  ..., -0.0256, -0.8914, -0.7050],
         [-0.0088,  0.2268, -0.0909,  ...,  0.1624,  0.7299,  0.5753]]])"
"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",a striking blow against freedom,0.6494068503379822,"tensor([[[ 9.3529e-04,  1.0119e-01, -1.2325e-01,  ...,  1.9429e-01,
          -3.6868e-01,  4.2580e-01],
         [-7.8364e-01,  4.9201e-01,  4.9809e-01,  ...,  1.2161e+00,
           3.0633e-01, -6.7990e-01],
         [-6.8597e-01,  4.3987e-01,  2.0507e-01,  ...,  4.8811e-01,
           3.5669e-01,  2.9921e-01],
         ...,
         [-2.3134e-01,  7.4175e-01,  5.1543e-01,  ..., -3.4124e-01,
           9.7254e-01, -4.0645e-01],
         [ 2.9207e-01,  2.1213e-01, -6.2008e-01,  ...,  4.5562e-01,
           5.6840e-01, -9.5280e-02],
         [-2.4733e-01,  3.7127e-01,  3.6875e-02,  ...,  3.0733e-01,
           5.8717e-01,  6.7556e-01]]])"
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",,0.6375294327735901,"tensor([[[-0.3587, -0.1855,  0.0730,  ...,  0.2361,  0.2900,  0.3729],
         [ 0.0881, -0.2298,  0.1545,  ...,  0.2289, -0.2367,  0.3245],
         [ 0.2606, -0.3336,  0.3369,  ...,  0.7043,  0.5084,  0.4378],
         ...,
         [ 0.0740,  0.2583,  0.4326,  ..., -1.1467,  0.3255,  0.0914],
         [-0.2168,  0.1166, -0.3516,  ...,  0.2120,  0.2453, -0.1836],
         [-0.3897,  0.6040,  0.2773,  ...,  0.2731,  0.5095,  0.6750]]])"
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",,0.6207478046417236,"tensor([[[ 0.0359,  0.1859, -0.2397,  ..., -0.4022, -0.1595, -0.3090],
         [ 0.6818, -0.2390, -0.4359,  ...,  0.2496,  0.3715,  0.8093],
         [-0.9166,  0.6743,  0.1054,  ...,  0.3963,  0.6026,  0.1701],
         ...,
         [-0.6090,  0.4557,  0.0366,  ..., -0.5088,  0.3264, -0.3225],
         [-0.2614,  0.0584, -0.2495,  ..., -0.5551,  0.3306, -0.3700],
         [-0.0088,  0.2268, -0.0909,  ...,  0.1624,  0.7299,  0.5753]]])"
"This is the right decision.
",,0.5470889806747437,"tensor([[[-0.3333,  0.1177, -0.2444,  ..., -0.0086,  0.1219,  0.3545],
         [-0.2904,  0.0010, -0.4396,  ...,  0.5351,  0.6265,  0.4776],
         [-0.7790,  0.4781,  0.0859,  ..., -0.2489,  0.5078, -0.5689],
         [-0.2924, -0.3564,  0.0352,  ..., -0.2774,  0.2752, -0.6015],
         [ 0.0012, -0.2781,  0.0563,  ...,  0.0681,  0.0209,  0.0050],
         [-0.2442, -0.0051, -0.2362,  ...,  0.3307,  0.7993,  0.5835]]])"
"The UK should never become a stage for inflammatory speakers who promote hate.""
",,0.6340673565864563,"tensor([[[-0.1885,  0.0200, -0.2144,  ..., -0.3234,  0.1177, -0.1013],
         [-0.2262,  0.1531, -0.3118,  ...,  0.0076,  0.5992,  0.1313],
         [ 0.4343, -0.4512,  0.2753,  ..., -0.9129, -0.1556, -0.2879],
         ...,
         [ 0.7763, -0.6434,  0.4457,  ...,  0.9622,  0.0733,  0.9582],
         [-0.5063,  0.3854,  0.0492,  ...,  0.4435,  0.5867,  0.7113],
         [ 0.3115,  0.4784, -0.8596,  ...,  0.9190,  0.2296,  0.1027]]])"
"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",,0.5260035991668701,"tensor([[[-0.2198, -1.0370,  0.1372,  ..., -0.1323, -0.0528,  0.7822],
         [-0.2344, -0.2893, -0.0927,  ...,  0.1976,  0.8759,  0.2805],
         [-0.3792,  0.6973,  0.2243,  ...,  0.0788,  0.4354, -0.7153],
         ...,
         [-0.1827, -1.1153,  0.3892,  ...,  0.1515, -1.1466,  0.3838],
         [ 0.2132,  0.2031,  0.9596,  ..., -0.8300,  0.9231,  0.3088],
         [-0.0229,  0.1027, -0.0701,  ...,  0.0156,  0.8204,  0.4549]]])"
"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",so-called land of democracy and freedom of speech,0.6471113562583923,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.4227, -0.0289, -0.1456,  ...,  0.7114,  0.9930,  0.1978],
         [-0.6652,  0.2168,  0.2186,  ...,  0.4740,  0.6926, -1.0691],
         ...,
         [-0.1308,  0.1726,  0.2292,  ..., -0.0357, -0.5645,  0.3808],
         [-0.3476,  0.8615,  0.3197,  ..., -0.5329, -0.0388, -0.1034],
         [-0.1581,  0.4450, -0.1719,  ...,  0.3185,  0.7065,  0.4512]]])"
"""How many hate preachers are living in this country?
",hate preachers,0.6745390892028809,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.0720,  0.9108, -1.1910,  ...,  0.7400,  0.8613,  0.2174],
         [-0.3833,  0.5716, -0.2230,  ...,  0.3753, -0.3412, -0.4774],
         ...,
         [-0.6654,  0.5929, -0.0373,  ...,  0.4017,  0.1730,  0.3668],
         [-0.5791, -0.0444, -0.2515,  ..., -0.0965,  0.4898, -0.1704],
         [ 0.2906, -0.0529, -0.4630,  ...,  0.4103,  0.7233,  0.6676]]])"
"It just shows what sort of a two-tier system we have here.""
",,0.6128444075584412,"tensor([[[-1.8591e-01, -3.4234e-01, -2.8026e-01,  ...,  1.6150e-01,
           3.3068e-01,  3.6681e-01],
         [-3.7458e-04,  5.6399e-01,  2.2943e-01,  ...,  5.5690e-01,
           7.1988e-01,  6.7924e-01],
         [-1.6305e-02,  2.7420e-01,  7.9041e-02,  ...,  6.0428e-02,
           6.2763e-01, -4.3141e-01],
         ...,
         [-8.0040e-01,  1.0155e+00, -1.0648e+00,  ...,  4.0730e-01,
           3.8861e-01,  5.4770e-01],
         [-3.0399e-01,  4.9017e-01, -1.8428e-01,  ...,  6.4536e-01,
           3.3691e-01,  7.8030e-01],
         [ 2.2986e-01,  6.2890e-01, -6.2083e-01,  ...,  9.5740e-01,
           2.4144e-01,  3.1732e-02]]])"
"'Foster hatred'
",,0.7625656723976135,"tensor([[[-0.1293, -0.1403, -0.1301,  ...,  0.1373,  0.2464, -0.4363],
         [ 0.0426,  0.0660, -0.9552,  ..., -0.1621,  1.0362,  0.4054],
         [ 0.6640, -0.0259, -0.2641,  ...,  0.4779, -0.2256, -0.5908],
         [-0.5361,  0.0504,  0.0621,  ...,  0.5823,  0.4670, -0.9657]]])"
"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",,0.85015469789505,"tensor([[[ 0.2974, -0.2736, -0.1950,  ..., -0.0896, -0.1755,  0.3172],
         [ 0.2960,  0.2061,  0.0644,  ...,  0.8549,  1.1003,  0.3399],
         [ 0.7803,  0.7076, -0.2082,  ...,  0.6174, -0.1808, -0.0999],
         ...,
         [-0.7251,  0.5098,  0.2396,  ..., -0.0531,  0.0642, -0.4691],
         [-0.3715,  0.1130, -0.3587,  ..., -0.0680,  0.0964,  0.2344],
         [-0.0228,  0.4207, -0.3288,  ...,  0.4464,  0.5178,  0.5501]]])"
"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",,0.6245532631874084,"tensor([[[ 0.4750,  0.0332, -0.1556,  ..., -0.0137,  0.0546,  0.4531],
         [-0.6499,  0.3561,  0.1191,  ..., -0.1078,  0.3725, -0.7240],
         [-0.7006,  0.3036,  0.3678,  ...,  0.4071, -0.6311,  0.4032],
         ...,
         [-0.8720,  0.7437,  0.1181,  ..., -0.0805,  0.0597, -0.3738],
         [-0.0731,  0.0345,  0.1011,  ...,  0.2812, -0.3604, -0.1451],
         [-0.3444,  0.3149,  0.0321,  ...,  0.6340,  0.3512,  0.4887]]])"
"""These two are among some of the most extreme anti-Muslim activists in the world.
",,0.6545501947402954,"tensor([[[ 4.4907e-01, -1.0283e-01, -7.9158e-01,  ...,  3.0362e-01,
           2.3656e-01,  7.2224e-02],
         [-8.9394e-01,  6.0705e-01, -2.5279e-02,  ..., -4.8460e-02,
           6.9061e-02, -1.1210e-02],
         [-1.8581e-01,  2.2328e-01,  1.3059e-01,  ..., -3.7852e-01,
          -5.5326e-02, -6.3724e-01],
         ...,
         [-7.6906e-01,  8.4203e-01,  2.6758e-01,  ..., -4.5066e-03,
           6.1494e-02, -2.4306e-01],
         [ 3.7890e-01,  1.1928e+00,  2.1890e-01,  ..., -1.4358e-01,
           5.7008e-03, -2.9562e-01],
         [-3.5590e-01,  4.5001e-01, -2.1169e-04,  ...,  7.4230e-01,
           1.7072e-01,  4.7457e-01]]])"
"They've nothing to contribute to life in this country.
",,0.6311743259429932,"tensor([[[-0.3587, -0.1855,  0.0730,  ...,  0.2361,  0.2900,  0.3729],
         [-0.3326,  0.2762,  0.0828,  ...,  0.6663,  0.8544, -1.0239],
         [-0.3552,  0.6835,  0.4053,  ..., -0.1300, -0.3166,  0.4801],
         ...,
         [-0.6654,  0.5929, -0.0373,  ...,  0.4017,  0.1730,  0.3668],
         [-0.5791, -0.0444, -0.2515,  ..., -0.0965,  0.4898, -0.1704],
         [-0.3900,  0.3790, -0.2008,  ...,  0.5001,  0.7016,  0.6790]]])"
"""They're not here to contribute to good community relations.
",,0.5218625664710999,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.6965,  0.2144,  0.4011,  ...,  0.8369,  0.9424,  0.2098],
         [-0.6652,  0.2168,  0.2186,  ...,  0.4740,  0.6926, -1.0691],
         ...,
         [-0.3875,  0.6332, -0.2712,  ...,  0.1977, -0.5140, -0.7544],
         [-0.8112,  0.4756, -0.9300,  ..., -1.0762, -0.1197,  0.7820],
         [-0.4543,  0.4021,  0.0275,  ...,  0.4682,  0.4795,  0.7025]]])"
"They only wanted to come here and help the EDL stir up more trouble.
",,0.500035285949707,"tensor([[[-0.3587, -0.1855,  0.0730,  ...,  0.2361,  0.2900,  0.3729],
         [-0.7316,  0.0255, -0.6594,  ...,  0.2635,  0.5671,  0.0988],
         [-0.1863, -0.2920, -0.0729,  ..., -0.2794,  0.0748, -0.6931],
         ...,
         [ 0.4603,  0.6163, -0.1003,  ..., -0.8676,  0.7415, -0.3959],
         [-0.5482,  0.8950, -0.8791,  ...,  0.1818,  0.0267,  0.3865],
         [-0.3884,  0.6414,  0.0598,  ...,  0.6821,  0.3488,  0.7101]]])"
